,ObjName,Redshift,DM15,DM15err,Subtype,EBV,EBVhost,EBVmw,pivot,slope,EBVhostNew,EBVPaper1,Source1,EBVPaper2,Source2,EBVPaper3,Source3,EBVmwSFD,maxBV,EBVfinal
182,SN2008ia,0.021942,1.213605344,0.07400000000000001,Ia-norm,0.1954,0.0,0.1954,1.4,1.1,0.05844973823865868,0.003,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.066,https://academic.oup.com/mnras/article/480/2/1445/5056728,,,0.2265017181634903,0.12687448615825758,0.066
183,SN2007nq,0.045031,1.47,0.05,Ia-norm,0.0312,0.2,0.0,0.5,1.1,0.11244996237808796,0.046,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,,,0.035447265952825546,0.023956943131935304,0.046
184,SN2002he,0.024564,1.44,0.06,Ia-norm,0.0341,0.0,0.0341,1.0,1.2,0.1450220208980995,,,,,,,0.03961491584777832,0.054835172708951774,0.1450220208980995
185,SN2008C,0.017,1.11,0.05,Ia-norm,0.07200000000000001,0.2,0.0,1.8,0.7,0.13584350067222184,0.239,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.27,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.08377645164728165,0.05800222596780813,0.239
186,SN2002dp,0.011639,1.12,0.04,Ia-norm,0.0422,0.0,0.0,1.3,1.1,0.1068211538352119,,,,,,,0.0489223450422287,-0.005789779355840352,0.1068211538352119
187,SN2005ag,0.079665,1.046518978,0.07400000000000001,Ia-norm,0.0331,0.0,0.0331,0.3,0.7,,0.085,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.07200000000000001,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.03995136171579361,,0.085
188,SN2001eh,0.037036,0.92,0.06,Ia-99aa-like,0.0538,0.08199999999999999,0.0,1.0,1.3,0.09465580454342964,0.06,https://academic.oup.com/mnras/article/391/4/1605/1746876,,,,,0.06360413134098053,0.005482619387198184,0.06
189,SN2008hv,0.012549,1.133690173,0.07400000000000001,Ia-norm,0.0279,0.0,0.0,1.9,0.7,0.07821309017024702,0.0,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.07400000000000001,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.03190222755074501,-0.05121320005337893,0.07400000000000001
190,SN2003ic,0.055672,1.306865353,0.07,Ia-norm,0.0322,0.2,0.0,,,,,,,,,,0.037692613899707794,,0.0
191,SN1998co,0.018072,1.434218922,0.07,Ia-norm,0.0363,0.0,0.0363,,,,,,,,,,0.042687512934207916,,0.0
192,SN2005na,0.026322,1.09,0.06,Ia-norm,0.0681,0.0,0.0,1.3,1.2,0.02262826406994517,0.048,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.0,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.061,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,0.07769143581390381,-0.06130199675763848,0.0
193,SN2003gn,0.03445,1.22,0.04,Ia-norm,0.042,0.0,0.042,1.5,0.6,,,,,,,,0.04970238730311394,,0.0
194,SN1997br,0.005961,1.09,0.06,Ia-91T,0.0967,0.0,0.0967,,,0.6449630523800187,0.35,https://arxiv.org/pdf/astro-ph/0611125.pdf,,,,,0.11292244493961336,0.5962638006781447,0.35
195,SN2005hk,0.012993,1.56,0.09,Iax,0.0193,0.112,0.0,0.3,1.9,0.1354606000538277,0.09,https://www.jstor.org/stable/pdf/10.1086/518372.pdf?refreqid=excelsior%3A91cbacb89203ebf27a3875fba7789e90&ab_segments=&origin=&initiator=&acceptTC=1,0.0,https://iopscience.iop.org/article/10.1088/0004-637X/767/1/57/pdf,,,0.02274260297417641,0.054816763272359736,0.09
196,SN2003K,0.021815,1.007220305,0.07400000000000001,Ia-91T,0.0238,0.0,0.0238,,,0.13792262369364028,,,,,,,0.02753935381770134,0.006162460251264434,0.13792262369364028
197,SN2007ux,0.030915,1.74,0.07,Ia-norm,0.0386,0.14,0.0,0.4,1.5,0.0,,,,,,,0.044947527348995216,0.04919116851819183,0.0
198,SN2005eu,0.0349,0.89,0.06,Ia-norm,0.1126,0.0,0.1126,1.9,0.7,0.2303573474618352,,,,,,,0.13146050274372098,0.2122504156183993,0.2303573474618352
199,SN1999dk,0.01496,0.92447046,0.07,Ia-norm,0.0429,0.0,0.0429,1.3,1.1,0.18054848195513074,0.12,Jiawen,,,,,0.050338886678218835,0.07767408327802983,0.12
200,SN2001E,0.01926,0.92,0.06,Ia-norm,0.0333,0.0,0.0333,1.1,1.1,,,,,,,,0.03900139406323433,,0.0
201,SN2005al,0.012402,1.002930043,0.07400000000000001,Ia-norm,0.0483,0.0,0.0483,,,,0.0,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.022,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.05555134266614914,,0.0
202,SN2000fa,0.021275,1.0,0.06,Ia-norm,0.0558,0.239,0.0,1.2,1.0,0.1510759958308196,0.19,Jiawen,,,,,0.06710819900035858,0.05926583904902927,0.19
203,SN2007bz,0.021778,1.05,0.03,Ia-norm,0.0285,0.0,0.0285,1.3,1.0,0.2592288944628159,,,,,,,0.03365620225667953,0.1319151532514411,0.2592288944628159
204,SN2006je,0.037996,1.757466073,0.07400000000000001,Ia-norm,0.0397,0.0,0.0397,1.6,1.8,,,,,,,,0.0461563877761364,,0.0
205,SN1996bo,0.017285,1.16,0.03,Ia-norm,0.0665,0.0,0.0665,,,,,,,,,,0.0772358626127243,,0.0
206,SN2000bk,0.025444,1.46,0.1,Ia-norm,0.0221,0.0,0.0221,0.8,1.2,,,,,,,,0.025987736880779263,,0.0
207,SN2007co,0.026962,1.16,0.03,Ia-norm,0.0964,0.34,0.0,1.3,0.9,0.14974178129787602,0.208,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.11319243907928468,0.10228849613693569,0.208
208,SN1998ab,0.027132,1.04,0.06,Ia-91T,0.0145,0.177,0.0,1.3,1.1,0.24734786417145,0.1,Jiawen,,,,,0.016950611025094986,0.10362890412974224,0.1
209,SN2005ke,0.00488,1.82,0.05,Ia-91bg,0.02,0.064,0.0,0.5,1.7,0.0,0.263,https://arxiv.org/pdf/1702.06585.pdf,,,,,0.0245639942586422,0.6583377567223465,0.263
210,SN2008Q,0.0081,1.25,0.08,Ia-norm,0.0716,0.0,0.0716,1.4,1.0,0.14756342988718985,,,,,,,0.08275698870420456,0.07488789356654024,0.14756342988718985
211,SN2003ai,0.036177,1.000358505,0.07400000000000001,Ia-norm,0.0127,0.0,0.0127,1.0,1.1,0.12633705202037038,,,,,,,0.014608425088226797,-0.01799248037842105,0.12633705202037038
212,SN2005dv,0.010404,1.821751136,0.07,Ia-norm,0.0159,0.0,0.0159,1.7,1.9,0.0,,,,,,,0.018920689821243286,0.7641429926531167,0.0
213,SN2004ef,0.030985,1.39,0.04,Ia-norm,0.0458,0.2,0.0,1.9,0.7,0.093350449427056,0.157,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.116,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.158,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,0.05491703003644943,0.009796324496612385,0.116
214,SN1999gd,0.018509,1.18,0.05,Ia-norm,0.0354,0.541,0.0,,,,0.45,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,,,0.041113901883363724,,0.45
215,SN2006al,0.067849,1.35,0.07,Ia-norm,0.0221,0.0,0.0,1.3,1.0,,,,,,,,0.025651337578892708,,0.0
216,SN2003fa,0.040388,0.8,0.05,Ia-99aa-like,0.0334,0.059,0.0,1.4,0.6,0.023744032377870983,,,,,,,0.03917023539543152,-0.07405531206903149,0.023744032377870983
217,SN2000dn,0.032065,1.04,0.04,Ia-norm,0.0409,0.0,0.0409,1.2,1.1,0.06977192435304641,0.08,Jiawen,,,,,0.04796914383769035,-0.04292850287606598,0.08
218,SN2006bh,0.010847,1.391299069,0.07400000000000001,Ia-norm,0.0227,0.0,0.0227,,,,0.016,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.0,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.037000000000000005,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,0.02658393234014511,,0.016
219,SN2001fh,0.01299,1.51,0.08,Ia-norm,0.6394,0.0,0.6394,0.6,1.6,-0.14447110206526897,,,,,,,0.7463582754135132,0.48653203166341896,-0.14447110206526897
220,SN2006ot,0.0531,0.84,0.05,Ia-norm,0.0151,0.0,0.0151,1.9,0.5,0.18195737788062055,,,,,,,0.017689963802695274,0.05652905650894624,0.18195737788062055
221,SN2002de,0.028116,0.96,0.04,Ia-norm,0.0144,0.239,0.0,1.1,1.1,0.4135437694307441,,,,,,,0.01946305297315121,0.2767192257907567,0.4135437694307441
222,SN2003kf,0.007388,1.1,0.05,Ia-norm,0.2687,0.386,0.0,1.4,0.7,0.08528954428003943,,,,,,,0.3125289976596832,0.2361713429047576,0.08528954428003943
223,SN2004as,0.031021,0.92,0.08,Ia-norm,0.0132,0.195,0.0,1.4,0.9,0.15921960688365028,,,,,,,0.015322580933570862,0.02176487132000915,0.15921960688365028
224,SN2012fr,0.005457,0.85,0.0,Ia-norm,0.0177,0.0,0.0177,,,0.21826232713034682,0.01,https://iopscience.iop.org/article/10.1088/0004-6256/148/1/1/pdf,,,,,0.02040453068912029,0.09414880981212548,0.01
225,SN2005iq,0.034043000000000004,1.19,0.06,Ia-norm,0.0186,0.2,0.0,1.9,0.7,,0.005,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.0,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.04,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,0.02210061252117157,,0.005
226,SN1990Y,0.039034,1.025792678,0.07400000000000001,Ia-norm,0.0069,0.0,0.0069,,,,,,,,,,0.008233427070081234,,0.0
227,SN1996ab,0.13,1.01,0.07,Ia-norm,0.0274,0.0,0.0274,,,,,,,,,,0.03226253017783165,,0.0
228,SN2002er,0.008569,1.23,0.03,Ia-norm,0.1376,0.0,0.1376,,,0.2665527321759777,,,,,,,0.16051644086837769,0.27009330533487486,0.2665527321759777
229,SN2002jy,0.0196,0.88,0.06,Ia-norm,0.045,0.114,0.0,1.0,1.1,0.11609158001000536,,,,,,,0.05303911864757538,0.020743160285771722,0.11609158001000536
230,SN2002es,0.02843,1.3592957019999998,0.07,Ia-pec,0.1552,0.0,0.1552,0.7,1.5,0.33256197426129647,0.0,https://arxiv.org/pdf/1202.3140.pdf,,,,,0.1802745759487152,0.36972290825063325,0.0
231,SN2011iv,0.0065,1.69,0.0,Ia-norm,0.0098,0.0,0.01,1.3,1.1,0.05289088847560325,0.01,https://arxiv.org/pdf/1707.03823.pdf,,,,,0.011399870738387108,-0.0015429308309826695,0.01
232,SN2002ef,0.023977,1.06,0.04,Ia-norm,0.0251,0.0,0.0251,1.9,1.1,,,,,,,,0.03226056322455406,,0.0
233,SN2000dm,0.015069999999999997,1.46,0.04,Ia-norm,0.1606,0.0,0.1606,1.1,1.1,0.0006184869440113983,,,,,,,0.1851309984922409,0.05980038609836669,0.0006184869440113983
234,SN2005lu,0.032009,0.74,0.05,Ia-norm,0.0218,0.0,0.0218,0.3,0.3,0.34843217875954785,0.324,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.247,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.02551643364131451,0.2478510131332996,0.324
235,SN2006em,0.019233,1.5,0.15,Ia-91bg,0.0513,0.0,0.0513,1.6,1.3,,,,,,,,0.059029668569564826,,0.0
