,Unnamed: 0,ObjName,Redshift,DM15,DM15err,Subtype,EBV,EBVhost,EBVmw,pivot,slope
196,196,SN2003K,0.021815,1.007220304639145,0.07400000000000001,Ia-91T,0.0238,0.0,0.0238,,
197,197,SN2007ux,0.030914999999999998,1.74,0.07,Ia-norm,0.0386,0.14,0.0,0.4,1.5
198,198,SN2005eu,0.0349,0.89,0.06,Ia-norm,0.1126,0.0,0.1126,1.9,0.7
199,199,SN1999dk,0.01496,0.9244704601844678,0.07,Ia-norm,0.0429,0.0,0.0429,1.3,1.1
200,200,SN2001E,0.01926,0.92,0.06,Ia-norm,0.0333,0.0,0.0333,1.1,1.1
201,201,SN2005al,0.012402,1.0029300434835875,0.07400000000000001,Ia-norm,0.0483,0.0,0.0483,,
202,202,SN2000fa,0.021275,1.0,0.06,Ia-norm,0.0558,0.239,0.0,1.2,1.0
203,203,SN2007bz,0.021778,1.05,0.03,Ia-norm,0.0285,0.0,0.0285,1.3,1.0
204,204,SN2006je,0.037995999999999995,1.7574660732037324,0.07400000000000001,Ia-norm,0.0397,0.0,0.0397,1.6,1.8
205,205,SN1996bo,0.017285,1.16,0.03,Ia-norm,0.0665,0.0,0.0665,,
206,206,SN2000bk,0.025444,1.46,0.1,Ia-norm,0.0221,0.0,0.0221,0.8,1.2
207,207,SN2007co,0.026962,1.16,0.03,Ia-norm,0.0964,0.34,0.0,1.3,0.9
208,208,SN1998ab,0.027132,1.04,0.06,Ia-91T,0.0145,0.177,0.0,1.3,1.1
209,209,SN2005ke,0.00488,1.82,0.05,Ia-91bg,0.02,0.064,0.0,0.5,1.7
210,210,SN2008Q,0.0081,1.25,0.08,Ia-norm,0.0716,0.0,0.0716,1.4,1.0
211,211,SN2003ai,0.036177,1.0003585052406858,0.07400000000000001,Ia-norm,0.0127,0.0,0.0127,1.0,1.1
212,212,SN2005dv,0.010404,1.8217511361155525,0.07,Ia-norm,0.0159,0.0,0.0159,1.7,1.9
213,213,SN2004ef,0.030985000000000002,1.39,0.04,Ia-norm,0.0458,0.2,0.0,1.9,0.7
214,214,SN1999gd,0.018509,1.18,0.05,Ia-norm,0.0354,0.541,0.0,,
