,Unnamed: 0,ObjName,Redshift,DM15,DM15err,Subtype,EBV,EBVhost,EBVmw,pivot,slope,EBVhostNew,EBVPaper1,Source1,EBVPaper2,Source2,EBVPaper3,Source3,EBVmwSFD,maxBV,EBVfinal
70,70,SN2011fe,0.0008039999999999,1.108,0.0,Ia-norm,0.0077,0.0,0.008,1.0,1.1,0.3372043947657274,0.0,CoSe,,,,,0.0088248020038008,0.1844011778578362,0.0
71,71,SN2004fu,0.00921,1.08,0.07,Ia-norm,0.3345,0.0,0.3345,1.5,0.9,0.1805731644092392,,,,,,,0.3882629871368408,0.4072949320164198,0.1805731644092392
72,72,SN2013dy,0.00389,0.92,0.01,Ia-norm,0.132,0.21,0.135,1.4,0.9,0.215562887842375,0.206,https://academic.oup.com/mnras/article/452/4/4307/1064490,,,,,0.1534013748168945,0.2161869461620575,0.206
73,73,SN2007R,0.03088,1.276413461,0.07,Ia-norm,0.0377,0.0,0.0377,,,,,,,,,,0.0467812716960907,,0.0
74,74,SN2006cz,0.0418,1.034271808,0.074,Ia-99aa-like,0.0702,0.0,0.0702,1.5,1.1,0.2264067151294679,,,,,,,0.0831552445888519,0.1490892114357045,0.2264067151294679
75,75,SN2009F,0.012956,1.867255156,0.074,Ia-91bg,0.0895,0.0,0.0895,0.3,0.3,0.0,0.108,https://arxiv.org/pdf/1702.06585.pdf,,,,,0.103982575237751,0.462739405656194,0.108
76,76,SN2007ca,0.014066,0.89,0.04,Ia-norm,0.0571,0.0,0.0571,1.1,1.1,0.3785394542589896,0.376,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.35,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,0.29,https://academic.oup.com/mnras/article/479/3/3663/5040246,0.066833809018135,0.2958058286899678,0.376
77,77,SN2006en,0.0319389999999999,1.093740764,0.07,Ia-norm,0.0553,0.2,0.0,,,,,,,,,,0.0642776191234588,,0.0
78,78,SN2002cf,0.015501,1.78,0.11,Ia-91bg,0.0304,0.0,0.0304,2.0,2.0,0.0,,,,,,,0.0361893586814403,0.3765053975805266,0.0
79,79,SN2002hw,0.017535,1.44,0.08,Ia-norm,0.0932,0.0,0.0932,2.0,0.8,0.5876122521837346,0.55,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,,,0.1053921803832054,0.563202668530014,0.55
